START_DATE,END_DATE,CATEGORY,START,PURPOSE,MILES,STOP
02-11-2016 16:28,02-11-2016 17:10,Business,Cary,Meal-Entertain,17.3,Raleigh
02-11-2016 17:49,02-11-2016 18:10,Business,Eastgate,Meal-Entertain,5.7,Walnut Terrace
02-11-2016 18:24,02-11-2016 18:46,Business,Raleigh,Temporary Site,13.5,Morrisville
02-11-2016 20:36,02-11-2016 20:51,Business,Morrisville,Temporary Site,6.1,Cary
02-12-2016 08:21,02-12-2016 08:42,Business,Cary,Temporary Site,8.5,Durham
02-12-2016 10:45,02-12-2016 10:52,Business,Durham,Temporary Site,2.6,Morrisville
02-12-2016 11:14,02-12-2016 11:35,Business,Morrisville,Customer Visit,17,Raleigh
02-12-2016 13:02,02-12-2016 13:36,Business,Raleigh,Meeting,18,Cary
02-12-2016 14:49,02-12-2016 15:06,Business,Cary,Meeting,8.4,Morrisville
02-12-2016 15:33,02-12-2016 16:06,Business,Morrisville,Customer Visit,11.5,Cary
2-13-2016 14:21,2-13-2016 14:41,Business,Cary,Meeting,8.9,Morrisville
2-13-2016 23:45,2-14-2016 0:01,Personal,East Elmhurst,,2.7,Jackson Heights
2-14-2016 0:50,2-14-2016 1:00,Personal,Jackson Heights,,1.8,East Elmhurst
2-14-2016 14:07,2-14-2016 14:40,Business,East Elmhurst,Meeting,8.1,New York
2-14-2016 14:46,2-14-2016 15:03,Business,Midtown,Meeting,2,Midtown West
2-14-2016 16:35,2-14-2016 17:02,Business,New York,Meeting,13,Long Island City
2-14-2016 17:06,2-14-2016 17:29,Business,Long Island City,Meeting,13.9,Jamaica
2-16-2016 3:21,2-16-2016 4:13,Business,Katunayaka,Customer Visit,43.7,Unknown Location
2-16-2016 8:29,2-16-2016 9:34,Business,Unknown Location,,14.1,Colombo
2-16-2016 10:31,2-16-2016 10:41,Business,Colombo,,2.6,Colombo
2-16-2016 11:32,2-16-2016 12:02,Business,Colombo,,4.5,Colombo
2-16-2016 12:39,2-16-2016 12:42,Business,Colombo,,1.7,Colombo
2-16-2016 13:43,2-16-2016 13:55,Business,Colombo,Temporary Site,1.8,Colombo
2-16-2016 16:34,2-16-2016 17:10,Business,Colombo,,6,Colombo
2-16-2016 17:17,2-16-2016 17:26,Business,Colombo,Meal-Entertain,1.1,Nugegoda
2-16-2016 17:40,2-16-2016 17:44,Business,Nugegoda,Errand-Supplies,3.6,Unknown Location
2-17-2016 13:18,2-17-2016 14:04,Business,Unknown Location,Temporary Site,14.7,Colombo
2-17-2016 15:17,2-17-2016 15:22,Business,Colombo,Meal-Entertain,1.7,Colombo
2-17-2016 15:33,2-17-2016 16:17,Business,Colombo,Temporary Site,21.4,Katunayaka
2-17-2016 16:38,2-17-2016 16:43,Business,Katunayaka,Errand-Supplies,0.5,Katunayaka
2-18-2016 8:19,2-18-2016 8:27,Business,Unknown Location,Temporary Site,23.5,Unknown Location
2-18-2016 14:03,2-18-2016 14:45,Business,Unknown Location,Temporary Site,12.7,Islamabad
2-18-2016 15:16,2-18-2016 15:31,Business,Islamabad,Temporary Site,6,Unknown Location
2-18-2016 18:44,2-18-2016 18:58,Business,Unknown Location,Customer Visit,5.2,Islamabad
2-18-2016 19:27,2-18-2016 20:08,Business,Islamabad,Meeting,10,Unknown Location
2-19-2016 9:02,2-19-2016 9:14,Business,Unknown Location,Meeting,18.3,Unknown Location
2-19-2016 9:21,2-19-2016 9:51,Business,Unknown Location,Meeting,11.2,Unknown Location
2-19-2016 10:21,2-19-2016 10:48,Business,Unknown Location,Meeting,7.6,Islamabad
2-19-2016 11:20,2-19-2016 11:26,Personal,Islamabad,,1.5,Islamabad
2-19-2016 11:45,2-19-2016 11:50,Personal,Islamabad,,1,Islamabad
2-19-2016 12:09,2-19-2016 12:27,Business,Islamabad,Temporary Site,7.3,Unknown Location
2-19-2016 16:26,2-19-2016 16:45,Business,Unknown Location,,3.5,Islamabad
2-19-2016 17:09,2-19-2016 17:20,Business,Islamabad,,4.2,Islamabad
2-19-2016 20:08,2-19-2016 20:30,Personal,Islamabad,,13.6,Unknown Location
2-19-2016 20:34,2-19-2016 20:51,Personal,Unknown Location,,2.5,Unknown Location
2-20-2016 7:59,2-20-2016 8:32,Personal,Unknown Location,,14.4,Islamabad
2-20-2016 10:48,2-20-2016 10:56,Personal,Islamabad,,3,Islamabad
2-20-2016 11:45,2-20-2016 11:53,Personal,Islamabad,,1.5,Islamabad
2-20-2016 12:41,2-20-2016 13:17,Business,Islamabad,,18.4,R?walpindi
2-20-2016 14:50,2-20-2016 15:54,Business,R?walpindi,Meeting,23.1,R?walpindi
2-20-2016 16:59,2-20-2016 17:54,Personal,R?walpindi,,16.5,Unknown Location
2-20-2016 18:00,2-20-2016 18:03,Business,Unknown Location,Errand-Supplies,3.2,Unknown Location
2-20-2016 19:28,2-20-2016 19:49,Business,Unknown Location,Errand-Supplies,7.7,Unknown Location
2-21-2016 9:07,2-21-2016 9:46,Business,Unknown Location,,14.5,Islamabad
2-21-2016 11:39,2-21-2016 11:43,Business,Unknown Location,Errand-Supplies,2.4,Islamabad
2-21-2016 11:47,2-21-2016 12:01,Business,Islamabad,Errand-Supplies,4.6,Islamabad
2-21-2016 12:13,2-21-2016 12:35,Business,Islamabad,Meal-Entertain,8.8,Unknown Location
2-21-2016 12:51,2-21-2016 13:12,Business,Unknown Location,Temporary Site,8.3,Unknown Location
2-21-2016 13:33,2-21-2016 14:30,Business,Unknown Location,Temporary Site,22.7,Unknown Location
2-21-2016 14:36,2-21-2016 15:03,Business,Unknown Location,Temporary Site,13,Islamabad
2-21-2016 15:14,2-21-2016 15:31,Business,Islamabad,Temporary Site,8.1,Noorpur Shahan
2-21-2016 15:36,2-21-2016 15:41,Business,Noorpur Shahan,Meal-Entertain,2.2,Unknown Location
2-21-2016 16:04,2-21-2016 16:32,Business,Unknown Location,,9.7,Unknown Location
2-21-2016 23:15,2-21-2016 23:52,Business,Unknown Location,Meeting,20,R?walpindi
2-22-2016 21:54,2-22-2016 22:09,Business,Morrisville,Customer Visit,8.1,Cary
2-24-2016 14:30,2-24-2016 14:35,Business,Whitebridge,,1.5,Preston
2-24-2016 15:19,2-24-2016 15:25,Business,Preston,Errand-Supplies,1.7,Whitebridge
2-25-2016 16:27,2-25-2016 16:35,Business,Whitebridge,Errand-Supplies,3.1,Heritage Pines
2-25-2016 16:47,2-25-2016 17:02,Business,Heritage Pines,Errand-Supplies,3.2,Whitebridge
2-25-2016 17:16,2-25-2016 17:36,Business,Whitebridge,Meal-Entertain,6,Tanglewood
2-25-2016 18:22,2-25-2016 18:39,Business,Tanglewood,Meal-Entertain,5.8,Whitebridge
2-26-2016 9:06,2-26-2016 9:29,Business,Whitebridge,,6.3,Westpark Place
2-26-2016 11:05,2-26-2016 11:11,Personal,Westpark Place,,1.7,Whitebridge
2-26-2016 11:35,2-26-2016 11:59,Business,Cary,Meeting,10.6,Durham
2-26-2016 13:01,2-26-2016 13:24,Business,Durham,Meeting,9.9,Cary
2-26-2016 14:38,2-26-2016 14:46,Personal,Whitebridge,,1.9,Westpark Place
2-26-2016 15:00,2-26-2016 15:18,Personal,Westpark Place,,4.2,Hazelwood
2-26-2016 17:01,2-26-2016 17:12,Personal,Hazelwood,,2,Whitebridge
2-28-2016 5:22,2-28-2016 5:38,Business,Whitebridge,Meeting,7.7,Waverly Place
2-28-2016 9:26,2-28-2016 9:42,Business,Waverly Place,Meeting,6.8,Whitebridge
2-29-2016 11:07,2-29-2016 11:14,Personal,Whitebridge,,2.1,Westpark Place
2-29-2016 11:30,2-29-2016 11:40,Business,Cary,Meeting,3.8,Apex
2-29-2016 12:36,2-29-2016 12:48,Business,Apex,Meeting,5.6,Cary
2-29-2016 14:55,2-29-2016 15:03,Business,Whitebridge,,2.6,Hazelwood
2-29-2016 16:40,2-29-2016 17:00,Business,Hazelwood,Customer Visit,6.6,Whitebridge
03-01-2016 18:47,03-01-2016 19:10,Business,Whitebridge,Meal-Entertain,8,Wayne Ridge
03-01-2016 21:27,03-01-2016 21:45,Business,Wayne Ridge,Meeting,8,Whitebridge
03-03-2016 09:45,03-03-2016 09:52,Personal,Whitebridge,,2.2,Westpark Place
03-03-2016 11:04,03-03-2016 11:10,Business,Westpark Place,Errand-Supplies,2.3,Whitebridge
03-03-2016 14:44,03-03-2016 14:58,Business,Whitebridge,Meal-Entertain,5.2,Northwoods
03-03-2016 15:27,03-03-2016 15:48,Business,Cary,Customer Visit,7.6,Raleigh
03-03-2016 16:02,03-03-2016 16:42,Business,Raleigh,Meeting,17.3,Cary
03-04-2016 07:47,03-04-2016 08:06,Business,Cary,Meeting,9.9,Durham
03-04-2016 09:46,03-04-2016 10:03,Business,Durham,Customer Visit,9.9,Cary
03-04-2016 11:46,03-04-2016 12:06,Business,Cary,Meeting,10.4,Durham
03-04-2016 13:03,03-04-2016 13:25,Business,Durham,Meeting,10.9,Cary
03-04-2016 13:40,03-04-2016 14:09,Business,Cary,Customer Visit,15.7,Raleigh
03-04-2016 15:56,03-04-2016 16:08,Business,Raleigh,Meal-Entertain,4.9,Raleigh
03-04-2016 16:16,03-04-2016 16:22,Business,Fayetteville Street,Errand-Supplies,0.8,Depot Historic District
03-04-2016 16:43,03-04-2016 17:12,Business,Raleigh,Meeting,13.5,Cary
03-04-2016 19:02,03-04-2016 19:08,Business,Cary,Temporary Site,1.9,Morrisville
03-04-2016 19:16,03-04-2016 19:25,Business,Morrisville,Meal-Entertain,2,Cary
03-05-2016 11:44,03-05-2016 11:59,Business,Cary,Meal-Entertain,6.5,Morrisville
03-05-2016 12:57,03-05-2016 13:12,Personal,Weston,,4.2,Weston
03-05-2016 14:08,03-05-2016 14:18,Personal,Morrisville,,3.5,Cary
03-05-2016 14:39,03-05-2016 15:01,Business,Whitebridge,Meal-Entertain,7.8,Wayne Ridge
03-05-2016 16:52,03-05-2016 17:13,Business,Cary,Meal-Entertain,7.8,Morrisville
03-05-2016 17:23,03-05-2016 17:34,Business,Morrisville,Meal-Entertain,3.9,Cary
03-07-2016 09:10,03-07-2016 09:20,Business,Whitebridge,Errand-Supplies,2.8,Edgehill Farms
03-07-2016 09:23,03-07-2016 09:47,Business,Cary,Customer Visit,12.4,Raleigh
03-07-2016 12:10,03-07-2016 12:26,Business,Fayetteville Street,Customer Visit,5.9,Meredith Townes
03-07-2016 13:57,03-07-2016 14:18,Business,Meredith Townes,Meeting,9.4,Leesville Hollow
03-07-2016 15:19,03-07-2016 15:45,Business,Raleigh,Between Offices,11.9,Cary
03-08-2016 14:38,03-08-2016 14:55,Business,Whitebridge,Between Offices,7.2,Waverly Place
03-08-2016 15:35,03-08-2016 16:00,Business,Waverly Place,Meal-Entertain,7.6,Whitebridge
03-08-2016 16:13,03-08-2016 16:25,Personal,Whitebridge,,1.6,Whitebridge
03-10-2016 03:36,03-10-2016 03:53,Business,Cary,Meeting,8.4,Morrisville
03-10-2016 10:08,03-10-2016 10:37,Business,East Austin,Meeting,12.8,West University
03-10-2016 14:39,03-10-2016 14:55,Business,West University,,2.3,South Congress
03-10-2016 16:18,03-10-2016 16:28,Business,South Congress,,1.6,Arts District
03-11-2016 09:47,03-11-2016 09:59,Business,The Drag,Meal-Entertain,2,Congress Ave District
03-11-2016 10:29,03-11-2016 10:36,Business,Congress Ave District,,0.8,Downtown
03-11-2016 11:57,03-11-2016 12:04,Business,Downtown,,1.2,Red River District
03-11-2016 13:43,03-11-2016 13:51,Business,Red River District,,1,Downtown
03-11-2016 19:21,03-11-2016 19:35,Business,South Congress,,2.1,The Drag
03-12-2016 09:13,03-12-2016 09:22,Business,The Drag,,2.2,South Congress
03-12-2016 18:27,03-12-2016 18:37,Personal,South Congress,,1.9,The Drag
3-13-2016 9:07,3-13-2016 9:37,Business,The Drag,Meal-Entertain,5.7,Convention Center District
3-13-2016 18:23,3-13-2016 18:43,Business,South Congress,Meal-Entertain,8.4,North Austin
3-13-2016 20:07,3-13-2016 20:28,Business,Georgian Acres,Meal-Entertain,6.2,The Drag
3-13-2016 20:39,3-13-2016 20:58,Business,The Drag,Meal-Entertain,10.5,North Austin
3-13-2016 21:11,3-13-2016 21:23,Business,North Austin,Meal-Entertain,7.2,Coxville
3-13-2016 22:19,3-13-2016 22:39,Business,Coxville,,12.5,The Drag
3-14-2016 8:34,3-14-2016 8:49,Business,The Drag,Errand-Supplies,2,South Congress
3-14-2016 18:39,3-14-2016 18:55,Business,South Congress,,2.7,The Drag
3-15-2016 8:45,3-15-2016 8:57,Business,The Drag,Meal-Entertain,2,Convention Center District
3-15-2016 20:48,3-15-2016 21:01,Business,Downtown,Meal-Entertain,2.8,The Drag
3-16-2016 11:34,3-16-2016 11:45,Business,The Drag,Meal-Entertain,1.7,Congress Ave District
3-16-2016 14:44,3-16-2016 14:55,Business,Convention Center District,,2,West University
3-16-2016 18:43,3-16-2016 18:56,Business,West University,Meal-Entertain,2.1,Congress Ave District
3-17-2016 0:33,3-17-2016 0:44,Personal,Downtown,,1.7,The Drag
3-17-2016 12:52,3-17-2016 15:11,Business,Austin,Customer Visit,136,Katy
3-17-2016 15:16,3-17-2016 15:58,Business,Katy,Meeting,30.2,Houston
3-17-2016 17:20,3-17-2016 18:02,Business,Midtown,Meal-Entertain,15.5,Alief
3-17-2016 18:47,3-17-2016 19:09,Personal,Houston,,4.9,Houston
3-17-2016 20:57,3-17-2016 21:28,Personal,Houston,,12.6,Houston
3-17-2016 21:48,3-17-2016 22:04,Personal,Sharpstown,,10.4,Midtown
3-18-2016 7:15,3-18-2016 7:21,Business,Midtown,Meal-Entertain,1.1,Midtown
3-18-2016 8:35,3-18-2016 8:43,Business,Midtown,Meal-Entertain,1.1,Midtown
3-18-2016 18:24,3-18-2016 19:08,Business,Midtown,Meeting,13.2,Sharpstown
3-18-2016 19:23,3-18-2016 19:29,Business,Sharpstown,Errand-Supplies,1,Sharpstown
3-18-2016 21:01,3-18-2016 21:15,Business,Sharpstown,Customer Visit,9.2,Midtown
3-19-2016 9:10,3-19-2016 9:25,Business,Midtown,Meal-Entertain,9.4,Sharpstown
3-19-2016 12:50,3-19-2016 13:13,Business,Houston,Customer Visit,12,Sugar Land
3-19-2016 14:01,3-19-2016 14:57,Business,Sugar Land,Customer Visit,35.1,Houston
3-19-2016 15:34,3-19-2016 16:38,Business,Houston,Meal-Entertain,36.5,Galveston
3-19-2016 17:17,3-19-2016 17:32,Business,Galveston,Meal-Entertain,3.1,Port Bolivar
3-19-2016 17:37,3-19-2016 17:47,Business,Port Bolivar,Errand-Supplies,2.1,Port Bolivar
3-19-2016 17:52,3-19-2016 18:00,Business,Port Bolivar,,1.2,Port Bolivar
3-19-2016 18:53,3-19-2016 19:29,Business,Port Bolivar,Meeting,7.5,Galveston
3-19-2016 19:33,3-19-2016 20:39,Business,Galveston,Customer Visit,57,Houston
3-20-2016 7:37,3-20-2016 7:48,Business,Midtown,Meeting,5.9,Washington Avenue
3-20-2016 11:42,3-20-2016 11:56,Business,Washington Avenue,Meeting,6.2,Midtown
3-20-2016 17:08,3-20-2016 17:34,Business,Midtown,,10.4,Sharpstown
3-20-2016 18:34,3-20-2016 18:40,Personal,Sharpstown,,1.2,Briar Meadow
3-20-2016 18:45,3-20-2016 19:06,Business,Briar Meadow,Customer Visit,9.6,Midtown
3-21-2016 10:21,3-21-2016 10:26,Personal,Midtown,,1,Downtown
3-21-2016 16:05,3-21-2016 16:13,Business,Downtown,Meal-Entertain,0.9,Midtown
3-21-2016 18:59,3-21-2016 19:15,Business,Midtown,,8.8,Sharpstown
3-21-2016 20:18,3-21-2016 20:55,Business,Sharpstown,Meal-Entertain,25.6,Midtown
3-22-2016 6:17,3-22-2016 6:43,Business,Midtown,Meal-Entertain,23,Greater Greenspoint
3-22-2016 12:06,3-22-2016 12:24,Personal,Morrisville,,8.1,Cary
3-22-2016 19:12,3-22-2016 19:25,Personal,Whitebridge,,1.4,Whitebridge
3-23-2016 14:37,3-23-2016 14:42,Personal,Whitebridge,,1.7,Preston
3-23-2016 14:53,3-23-2016 14:59,Personal,Preston,,1.6,Whitebridge
3-24-2016 19:47,3-24-2016 19:54,Personal,Whitebridge,,2,Westpark Place
3-24-2016 20:34,3-24-2016 20:40,Business,Westpark Place,,2.2,Whitebridge
3-25-2016 13:24,3-25-2016 16:22,Business,Cary,Customer Visit,144,Latta
3-25-2016 16:52,3-25-2016 22:22,Business,Latta,Customer Visit,310.3,Jacksonville
3-25-2016 22:54,3-26-2016 1:39,Business,Jacksonville,Meeting,201,Kissimmee
3-26-2016 14:05,3-26-2016 14:29,Personal,Couples Glen,,6.7,Isles of Buena Vista
3-26-2016 15:19,3-26-2016 15:49,Personal,Kissimmee,,8.8,Orlando
3-26-2016 16:26,3-26-2016 16:30,Personal,Lake Reams,,1.2,Lake Reams
3-27-2016 0:31,3-27-2016 0:40,Business,Lake Reams,Errand-Supplies,2.1,Lake Reams
3-27-2016 1:11,3-27-2016 1:23,Business,Orlando,Meal-Entertain,6.6,Kissimmee
3-27-2016 15:31,3-27-2016 15:56,Business,Kissimmee,Customer Visit,6.1,Orlando
3-27-2016 21:26,3-27-2016 21:41,Personal,Orlando,,6.9,Orlando
3-27-2016 23:04,3-27-2016 23:18,Personal,Orlando,,7.3,Kissimmee
3-28-2016 12:29,3-28-2016 12:42,Personal,Kissimmee,,3.6,Orlando
3-28-2016 19:30,3-28-2016 20:23,Personal,Couples Glen,,27.2,Vista East
3-28-2016 22:55,3-28-2016 23:26,Personal,Orlando,,25.7,Kissimmee
3-29-2016 15:27,3-29-2016 16:11,Personal,Kissimmee,,13.6,Orlando
3-29-2016 18:20,3-29-2016 18:39,Personal,Sand Lake Commons,,6.2,Sky Lake
3-29-2016 20:29,3-29-2016 20:44,Personal,Sky Lake,,6,Sand Lake Commons
3-29-2016 23:04,3-29-2016 23:21,Personal,Orlando,,13.8,Kissimmee
3-30-2016 22:05,3-30-2016 22:55,Business,Orlando,Meal-Entertain,28.8,Kissimmee
3-31-2016 12:47,3-31-2016 13:22,Business,Kissimmee,Temporary Site,16.1,Orlando
3-31-2016 14:37,3-31-2016 15:09,Business,Orlando,Meal-Entertain,16.4,Kissimmee
04-01-2016 13:43,04-01-2016 14:01,Business,Kissimmee,Meeting,11,Kissimmee
04-01-2016 14:36,04-01-2016 15:24,Business,Kissimmee,Customer Visit,15.5,Orlando
04-01-2016 16:01,04-01-2016 16:49,Business,Orlando,Meeting,20.3,Kissimmee
04-01-2016 16:52,04-01-2016 16:57,Personal,Kissimmee,,0.7,Kissimmee
04-02-2016 08:48,04-02-2016 09:04,Personal,Kissimmee,,5.5,Kissimmee
04-02-2016 11:01,04-02-2016 11:16,Personal,Kissimmee,,5.1,Kissimmee
04-02-2016 12:21,04-02-2016 14:47,Business,Kissimmee,Customer Visit,77.3,Daytona Beach
04-02-2016 16:57,04-02-2016 18:09,Business,Daytona Beach,Customer Visit,80.5,Jacksonville
04-02-2016 19:38,04-02-2016 22:36,Business,Jacksonville,Customer Visit,174.2,Ridgeland
04-02-2016 23:11,04-03-2016 01:34,Business,Ridgeland,Meeting,144,Florence
04-03-2016 02:00,04-03-2016 04:16,Business,Florence,Meeting,159.3,Cary
